"","customer","chain","shop","date","quantity","billing","datediff_last","datediff_next","max_date"
"132","_cFlK","~V","~iy",2017-06-28,2.14,37.11,2,12,FALSE
"133","_cFlK","~V","~iy",2017-07-10,3.116,41.27,12,5,FALSE
"134","_cFlK","~V","~iy",2017-07-15,4.992,36.92,5,17,FALSE
"135","_cFlK","~V","~iy",2017-08-01,4.06,48.64,17,3,FALSE
"136","_cFlK","~V","~iy",2017-08-04,5.074,32.87,3,7,FALSE
"137","_cFlK","~V","~iy",2017-08-11,4.586,38.27,7,6,FALSE
"138","_cFlK","~V","~iy",2017-08-17,4.138,43.54,6,5,FALSE
"139","_cFlK","~V","~iy",2017-08-22,6.882,66.35,5,8,FALSE
"140","_cFlK","~V","~iy",2017-08-30,5.3,39.44,8,14,FALSE
"141","_cFlK","~V","~iy",2017-09-13,6.182,50.24,14,16,FALSE
"142","_cFlK","~V","~iy",2017-09-29,8.256,69.13,16,5,FALSE
"143","_cFlK","~V","~iy",2017-10-04,5.892,34.69,5,7,FALSE
"144","_cFlK","~V","~iy",2017-10-11,2.896,47.35,7,6,FALSE
"145","_cFlK","~V","~iy",2017-10-17,7.936,35.04,6,9,FALSE
"146","_cFlK","~V","~iy",2017-10-26,3.116,23.69,9,5,FALSE
"147","_cFlK","~V","~iy",2017-10-31,7.392,42.91,5,7,FALSE
"148","_cFlK","~V","~iy",2017-11-07,8.046,67.75,7,8,FALSE
"149","_cFlK","~V","~iy",2017-11-15,4.238,34.64,8,6,FALSE
"150","_cFlK","~V","~iy",2017-11-21,4.636,44.13,6,7,FALSE
"151","_cFlK","~V","~iy",2017-11-28,8.18,73.11,7,14,FALSE
"152","_cFlK","~V","~iy",2017-12-12,3.722,56.56,14,7,FALSE
"153","_cFlK","~V","~iy",2017-12-19,2.776,40.54,7,3,FALSE
"154","_cFlK","~V","~iy",2017-12-22,10.24,242.3,3,11,FALSE
"155","_cFlK","~V","~iy",2018-01-02,5.116,49.51,11,6,FALSE
"156","_cFlK","~V","~iy",2018-01-08,10.03,67.39,6,10,FALSE
"157","_cFlK","~V","~iy",2018-01-18,15.412,65.38,10,13,FALSE
"158","_cFlK","~V","~iy",2018-01-31,7.768,93.47,13,9,FALSE
"159","_cFlK","~V","~iy",2018-02-09,9.604,36.57,9,4,FALSE
"160","_cFlK","~V","~iy",2018-02-13,3.38,35.9,4,6,FALSE
"161","_cFlK","~V","~iy",2018-02-19,2.782,19.51,6,23,FALSE
"162","_cFlK","~V","~iy",2018-03-14,7.42,41.42,23,10,FALSE
"163","_cFlK","~V","~iy",2018-03-24,5.878,62.6,10,18,FALSE
"164","_cFlK","~V","~iy",2018-04-11,7.99,65.27,18,12,FALSE
"165","_cFlK","~V","~iy",2018-04-23,5.61,47.11,12,9,FALSE
"166","_cFlK","~V","~iy",2018-05-02,6.41,59.87,9,13,FALSE
"167","_cFlK","~V","~iy",2018-05-15,8.284,60.69,13,57,FALSE
"168","_cFlK","~V","~iy",2018-07-11,9.48,60.3,57,13,FALSE
"169","_cFlK","~V","~iy",2018-07-24,9.356,52.71,13,8,FALSE
"170","_cFlK","~V","~iy",2018-08-01,8.794,72.97,8,48,FALSE
"171","_cFlK","~V","~iy",2018-09-18,15.752,61.67,48,22,FALSE
"172","_EO~V","Yn","Rtw",2016-12-23,2.57,33.15,0,10,FALSE
"173","_EO~V","Yn","Rtw",2017-01-02,3.12,21.71,10,14,FALSE
"174","_EO~V","Yn","Rtw",2017-01-16,0.905,6.93,14,14,FALSE
"175","_EO~V","Yn","Rtw",2017-01-30,0.71,7.06,14,1,FALSE
"176","_EO~V","Yn","Rtw",2017-01-31,0.615,11.47,1,21,FALSE
"177","_EO~V","Yn","Rtw",2017-02-21,0.665,10.89,21,6,FALSE
"178","_EO~V","Yn","Rtw",2017-02-27,3.05,15.52,6,21,FALSE
"179","_EO~V","Yn","Rtw",2017-03-20,1.425,14.1,21,15,FALSE
"180","_EO~V","Yn","Rtw",2017-04-04,2.925,46.8,15,14,FALSE
"181","_EO~V","Yn","Rtw",2017-04-18,2.565,5.29,14,22,FALSE
"182","_EO~V","Yn","Rtw",2017-05-10,3.29,25.64,22,5,FALSE
"183","_EO~V","Yn","Rtw",2017-05-15,1.825,13.21,5,7,FALSE
"184","_EO~V","Yn","Rtw",2017-05-22,0.57,5.76,7,3,FALSE
"185","_EO~V","Yn","Rtw",2017-05-25,2.545,8.29,3,12,FALSE
"186","_EO~V","Yn","Rtw",2017-06-06,2.195,22.32,12,17,FALSE
"187","_EO~V","Yn","Rtw",2017-06-23,1.745,21.94,17,17,FALSE
"188","_EO~V","Yn","Rtw",2017-07-10,1.07,15.22,17,3,FALSE
"189","_EO~V","Yn","Rtw",2017-07-13,1.49,19.11,3,4,FALSE
"190","_EO~V","Yn","Rtw",2017-07-17,0.67,9.17,4,17,FALSE
"191","_EO~V","Yn","Rtw",2017-08-03,1.955,18.44,17,11,FALSE
"192","_EO~V","Yn","Rtw",2017-08-14,2.35,16.94,11,5,FALSE
"193","_EO~V","Yn","Rtw",2017-08-19,1.32,12.37,5,9,FALSE
"194","_EO~V","Yn","Rtw",2017-08-28,0.955,14.38,9,10,FALSE
"195","_EO~V","Yn","Rtw",2017-09-07,3.3,12.82,10,8,FALSE
"196","_EO~V","Yn","Rtw",2017-09-15,2.69,22.12,8,11,FALSE
"197","_EO~V","Yn","Rtw",2017-09-26,1.035,10.84,11,8,FALSE
"198","_EO~V","Yn","Rtw",2017-10-04,0.825,15.69,8,6,FALSE
"199","_EO~V","Yn","Rtw",2017-10-10,1.37,17.07,6,13,FALSE
"200","_EO~V","Yn","Rtw",2017-10-23,0.3,2.97,13,7,FALSE
"201","_EO~V","Yn","Rtw",2017-10-30,1.175,2.89,7,14,FALSE
"202","_EO~V","Yn","Rtw",2017-11-13,0.695,9,14,3,FALSE
"203","_EO~V","Yn","Rtw",2017-11-16,1.295,19.28,3,15,FALSE
"204","_EO~V","Yn","Rtw",2017-12-01,2.045,29.69,15,3,FALSE
"205","_EO~V","Yn","Rtw",2017-12-04,0.7,5.95,3,7,FALSE
"206","_EO~V","Yn","Rtw",2017-12-11,3.18,16.6,7,4,FALSE
"207","_EO~V","Yn","Rtw",2017-12-15,1.685,17.75,4,5,FALSE
"208","_EO~V","Yn","Rtw",2017-12-20,1.735,15.12,5,2,FALSE
"209","_EO~V","Yn","Rtw",2017-12-22,4.025,31.79,2,1,FALSE
"210","_EO~V","Yn","Rtw",2017-12-23,2.55,34.64,1,4,FALSE
"211","_EO~V","Yn","Rtw",2017-12-27,4.535,12.52,4,1,FALSE
"212","_EO~V","Yn","Rtw",2017-12-28,1.38,14.33,1,5,FALSE
"213","_EO~V","Yn","Rtw",2018-01-02,1.195,14.81,5,3,FALSE
"214","_EO~V","Yn","Rtw",2018-01-05,1.085,16.44,3,3,FALSE
"215","_EO~V","Yn","Rtw",2018-01-08,0.34,4.87,3,3,FALSE
"216","_EO~V","Yn","Rtw",2018-01-11,2.365,15.91,3,2,FALSE
"217","_EO~V","Yn","Rtw",2018-01-13,2.81,15.4,2,4,FALSE
"218","_EO~V","Yn","Rtw",2018-01-17,1.005,7.25,4,1,FALSE
"219","_EO~V","Yn","Rtw",2018-01-18,4.49,31.68,1,4,FALSE
"220","_EO~V","Yn","Rtw",2018-01-22,1.57,7.42,4,4,FALSE
"221","_EO~V","Yn","Rtw",2018-01-26,4.365,44.23,4,6,FALSE
"222","_EO~V","Yn","Rtw",2018-02-01,4.855,37.38,6,4,FALSE
"223","_EO~V","Yn","Rtw",2018-02-05,1,6.17,4,1,FALSE
"224","_EO~V","Yn","Rtw",2018-02-06,0.59,4.69,1,2,FALSE
"225","_EO~V","Yn","Rtw",2018-02-08,3.69,35.9,2,4,FALSE
"226","_EO~V","Yn","Rtw",2018-02-12,4.44,9.48,4,10,FALSE
"227","_EO~V","Yn","Rtw",2018-02-22,6.335,44.85,10,1,FALSE
"228","_EO~V","Yn","Rtw",2018-02-23,1.145,2.98,1,5,FALSE
"229","_EO~V","Yn","Rtw",2018-02-28,4,3.3,5,1,FALSE
"230","_EO~V","Yn","Rtw",2018-03-01,2.275,18.43,1,5,FALSE
"231","_EO~V","Yn","Rtw",2018-03-06,2.06,11.31,5,2,FALSE
"232","_EO~V","Yn","Rtw",2018-03-08,5.555,42.04,2,5,FALSE
"233","_EO~V","Yn","Rtw",2018-03-13,2.485,17.13,5,2,FALSE
"234","_EO~V","Yn","Rtw",2018-03-15,3.1,31.09,2,7,FALSE
"235","_EO~V","Yn","Rtw",2018-03-22,2.84,33.61,7,5,FALSE
"236","_EO~V","Yn","Rtw",2018-03-27,4.79,17.2,5,1,FALSE
"237","_EO~V","Yn","Rtw",2018-03-28,2.505,0.99,1,1,FALSE
"238","_EO~V","Yn","Rtw",2018-03-29,4.175,27.96,1,5,FALSE
"239","_EO~V","Yn","Rtw",2018-04-03,3.285,7.78,5,2,FALSE
"240","_EO~V","Yn","Rtw",2018-04-05,5.59,39.26,2,5,FALSE
"241","_EO~V","Yn","Rtw",2018-04-10,1.63,12.88,5,2,FALSE
"242","_EO~V","Yn","Rtw",2018-04-12,4.77,42.09,2,5,FALSE
"243","_EO~V","Yn","Rtw",2018-04-17,1.145,3.64,5,2,FALSE
"244","_EO~V","Yn","Rtw",2018-04-19,2.975,29.35,2,2,FALSE
"245","_EO~V","Yn","Rtw",2018-04-21,1.53,15.4,2,3,FALSE
"246","_EO~V","Yn","Rtw",2018-04-24,2.615,19.58,3,2,FALSE
"247","_EO~V","Yn","Rtw",2018-04-26,5.12,31.64,2,4,FALSE
"248","_EO~V","Yn","Rtw",2018-04-30,1.02,15.33,4,3,FALSE
"249","_EO~V","Yn","Rtw",2018-05-03,5.235,38.81,3,5,FALSE
"250","_EO~V","Yn","Rtw",2018-05-08,0.695,7.1,5,2,FALSE
"251","_EO~V","Yn","Rtw",2018-05-10,3.66,18.93,2,7,FALSE
"252","_EO~V","Yn","Rtw",2018-05-17,5.535,26.22,7,1,FALSE
"253","_EO~V","Yn","Rtw",2018-05-18,1.26,7.42,1,6,FALSE
"254","_EO~V","Yn","Rtw",2018-05-24,4.035,34.29,6,5,FALSE
"255","_EO~V","Yn","Rtw",2018-05-29,0.48,4.37,5,2,FALSE
"256","_EO~V","Yn","Rtw",2018-05-31,4.925,39.66,2,6,FALSE
"257","_EO~V","Yn","Rtw",2018-06-06,1.05,11.95,6,2,FALSE
"258","_EO~V","Yn","Rtw",2018-06-08,3.125,31.23,2,4,FALSE
"259","_EO~V","Yn","Rtw",2018-06-12,1.33,4.66,4,2,FALSE
"260","_EO~V","Yn","Rtw",2018-06-14,3.73,32.19,2,1,FALSE
"261","_EO~V","Yn","Rtw",2018-06-15,1.615,6.7,1,4,FALSE
"262","_EO~V","Yn","Rtw",2018-06-19,3.165,8.3,4,2,FALSE
"263","_EO~V","Yn","Rtw",2018-06-21,5.495,25.36,2,7,FALSE
"264","_EO~V","Yn","Rtw",2018-06-28,5.365,37.07,7,8,FALSE
"265","_EO~V","Yn","Rtw",2018-07-06,2.62,20.79,8,3,FALSE
"266","_EO~V","Yn","Rtw",2018-07-09,0.725,5.94,3,4,FALSE
"267","_EO~V","Yn","Rtw",2018-07-13,2.9,14.38,4,3,FALSE
"268","_EO~V","Yn","Rtw",2018-07-16,3.14,22.73,3,3,FALSE
"269","_EO~V","Yn","Rtw",2018-07-19,4.74,18.03,3,4,FALSE
"270","_EO~V","Yn","Rtw",2018-07-23,2.285,23.05,4,2,FALSE
"271","_EO~V","Yn","Rtw",2018-07-25,2.73,11.02,2,1,FALSE
"272","_EO~V","Yn","Rtw",2018-07-26,0.49,9.19,1,5,FALSE
"273","_EO~V","Yn","Rtw",2018-07-31,1.12,8.85,5,3,FALSE
"274","_EO~V","Yn","Rtw",2018-08-03,6.155,35.63,3,5,FALSE
"275","_EO~V","Yn","Rtw",2018-08-08,2.085,9.88,5,2,FALSE
"276","_EO~V","Yn","Rtw",2018-08-10,3.565,28.68,2,33,FALSE
"277","_EO~V","Yn","Rtw",2018-09-12,3.58,23.99,33,8,FALSE
"278","_EO~V","Yn","Rtw",2018-09-20,6.105,35,8,7,FALSE
"279","_EO~V","Yn","Rtw",2018-09-27,2.57,30.63,7,7,FALSE
"280","_EO~V","Yn","Rtw",2018-10-04,3.67,22.03,7,11,FALSE
"281","_EO~V","Yn","Rtw",2018-10-15,4.085,20.53,11,2,FALSE
"282","_EO~V","Yn","Rtw",2018-10-17,9.395,43.31,2,8,FALSE
"283","_EO~V","Yn","Rtw",2018-10-25,5.03,35.75,8,6,FALSE
"284","_EXSy","it","5S8",2016-03-01,2.325,13.05,0,20,FALSE
"285","_EXSy","it","5S8",2016-03-21,2,9,20,26,FALSE
"286","_EXSy","it","5S8",2016-04-16,2,11.1,26,21,FALSE
"287","_EXSy","it","5S8",2016-05-07,1.5,10.75,21,14,FALSE
"288","_EXSy","it","5S8",2016-05-21,2,12.3,14,74,FALSE
"289","_EXSy","it","5S8",2016-08-03,5.26,4.81,74,24,FALSE
"290","_EXSy","it","5S8",2016-08-27,1.1,8.92,24,17,FALSE
"291","_EXSy","it","5S8",2016-09-13,1,6.4,17,42,FALSE
"292","_EXSy","it","5S8",2016-10-25,4,14.1,42,23,FALSE
"293","_EXSy","it","5S8",2016-11-17,5,14.2,23,63,FALSE
"294","_EXSy","it","5S8",2017-01-19,2,11.9,63,40,FALSE
"295","_EXSy","it","5S8",2017-02-28,5.315,22.4,40,106,FALSE
"296","_EXSy","it","5S8",2017-06-14,3.235,11.78,106,36,FALSE
"297","_EXSy","it","5S8",2017-07-20,2,6,36,100,FALSE
"298","_EXSy","it","5S8",2017-10-28,6.178,13.22,100,220,FALSE
"299","_Ii34","w6","7M4",2017-06-16,2,11.8,0,42,FALSE
"300","_Ii34","w6","7M4",2017-07-28,0.73,27.22,42,35,FALSE
"301","_Ii34","w6","7M4",2017-09-01,2.84,15.93,35,1,FALSE
"302","_Ii34","w6","7M4",2017-09-02,1,5.9,1,6,FALSE
"303","_Ii34","w6","7M4",2017-09-08,0.235,4.65,6,1,FALSE
"304","_Ii34","w6","7M4",2017-09-09,4.21,42.33,1,14,FALSE
"305","_Ii34","w6","7M4",2017-09-23,3.73,17.84,14,13,FALSE
"306","_Ii34","w6","7M4",2017-10-06,6.39,26.17,13,8,FALSE
"307","_Ii34","w6","7M4",2017-10-14,2.46,24.09,8,13,FALSE
"308","_Ii34","w6","7M4",2017-10-27,3.305,25.47,13,1,FALSE
"309","_Ii34","w6","7M4",2017-10-28,0.32,4.64,1,7,FALSE
"310","_Ii34","w6","7M4",2017-11-04,2.13,20.42,7,7,FALSE
"311","_Ii34","w6","7M4",2017-11-11,1.7,5.85,7,7,FALSE
"312","_Ii34","w6","7M4",2017-11-18,3.02,21.45,7,9,FALSE
"313","_Ii34","w6","7M4",2017-11-27,2.1,18.68,9,16,FALSE
"314","_Ii34","w6","7M4",2017-12-13,0.74,13.41,16,3,FALSE
"315","_Ii34","w6","7M4",2017-12-16,0.62,18.02,3,8,FALSE
"316","_Ii34","w6","7M4",2017-12-24,5.405,49.17,8,9,FALSE
"317","_Ii34","w6","7M4",2018-01-02,2,6.7,9,11,FALSE
"318","_Ii34","w6","7M4",2018-01-13,1.465,28.02,11,6,FALSE
"319","_Ii34","w6","7M4",2018-01-19,1.49,8.07,6,15,FALSE
"320","_Ii34","w6","7M4",2018-02-03,2.475,18.57,15,5,FALSE
"321","_Ii34","w6","7M4",2018-02-08,0.23,3.66,5,2,FALSE
"322","_Ii34","w6","7M4",2018-02-10,3.05,15.71,2,7,FALSE
"323","_Ii34","w6","7M4",2018-02-17,1.235,23.08,7,7,FALSE
"324","_Ii34","w6","7M4",2018-02-24,2.19,23.95,7,20,FALSE
"325","_Ii34","w6","7M4",2018-03-16,2.75,40.39,20,15,FALSE
"326","_Ii34","w6","7M4",2018-03-31,3.055,15.22,15,7,FALSE
"327","_Ii34","w6","7M4",2018-04-07,3.895,24.26,7,7,FALSE
"328","_Ii34","w6","7M4",2018-04-14,0.385,4.58,7,20,FALSE
"329","_Ii34","w6","7M4",2018-05-04,3.88,22.73,20,8,FALSE
"330","_Ii34","w6","7M4",2018-05-12,0.86,20.01,8,14,FALSE
"331","_Ii34","w6","7M4",2018-05-26,2.78,22.83,14,13,FALSE
"332","_Ii34","w6","7M4",2018-06-08,2.2,18.6,13,15,FALSE
"333","_Ii34","w6","7M4",2018-06-23,2.325,17.84,15,14,FALSE
"334","_Ii34","w6","7M4",2018-07-07,1,3.95,14,20,FALSE
"335","_Ii34","w6","7M4",2018-07-27,4.49,31.58,20,43,FALSE
"336","_Ii34","w6","7M4",2018-09-08,0.52,3.38,43,7,FALSE
"337","_Ii34","w6","7M4",2018-09-15,2,6.2,7,7,FALSE
"338","_Ii34","w6","7M4",2018-09-22,1,9.25,7,6,FALSE
"339","_Ii34","w6","7M4",2018-09-28,2.13,21.34,6,8,FALSE
"340","_Ii34","w6","7M4",2018-10-06,1.045,17.64,8,25,FALSE
"341","_KI52","w6","7M4",2017-03-03,1.13,12.04,0,155,FALSE
"342","_KI52","w6","7M4",2017-08-05,15.46,33.41,155,25,FALSE
"343","_KI52","w6","7M4",2017-08-30,8.425,27.72,25,44,FALSE
"344","_KI52","w6","7M4",2017-10-13,7.72,21.27,44,119,FALSE
"345","_KI52","w6","7M4",2018-02-09,4.99,17.51,119,7,FALSE
"346","_KI52","w6","7M4",2018-02-16,2.285,6.64,7,14,FALSE
