customer,shop,date,month,wday,quantity,billing,datediff_next,max_date
_ckOj,bbb,2018-10-24,10,4,2.595,17.44,0,TRUE
_CNk4,0aM,2018-10-27,10,7,6,46.95,0,TRUE
_CQOq,lFX,2017-12-05,12,3,1.064,51.41,0,TRUE
_cRKq,8TO,2018-09-22,9,7,1.695,17.14,0,TRUE
_cT3A,fDV,2018-09-13,9,5,2.095,11.35,0,TRUE
_CygA,uRf,2018-10-31,10,4,14.915,57.93,0,TRUE
_d51L,Ed0,2018-10-30,10,3,3.69,53.62,0,TRUE
_DhEl,bbb,2018-10-30,10,3,13.085,10.8,0,TRUE
_dJxP,AWT,2018-09-01,9,7,2,21.11,0,TRUE
_DmsH,bbb,2018-10-30,10,3,2.495,36.04,0,TRUE
_Epdr,~iy,2018-09-28,9,6,0.586,12.31,0,TRUE
_eytL,HYm,2018-10-27,10,7,0.51,10.1,0,TRUE
_F3RH,AWT,2018-08-31,8,6,2.26,46.06,0,TRUE
_GGzu,fDV,2018-10-27,10,7,1.755,50.24,0,TRUE
_GoNk,7ti,2018-10-15,10,2,0.235,2.8,0,TRUE
_hLEp,lFX,2018-10-23,10,3,0.704,4.01,0,TRUE
_hmNl,7ti,2018-10-19,10,6,4.49,63.04,0,TRUE
_HMu8,AWT,2018-10-06,10,7,35.83,136.4,0,TRUE
_Hr3F,KFW,2018-10-31,10,4,0.878,12.56,0,TRUE
_hzL1,HYm,2018-09-12,9,4,0.23,3.89,0,TRUE
_I0vz,8TO,2018-10-27,10,7,1.485,7.34,0,TRUE
_Ivo9,8TO,2018-10-05,10,6,2.62,18.23,0,TRUE
_IxHj,uRf,2018-10-17,10,4,0.76,6.58,0,TRUE
_J2hi,5S8,2018-10-13,10,7,2,7,0,TRUE
_j44L,uRf,2018-09-17,9,2,0.58,4.58,0,TRUE
_jDT7,8TO,2018-10-20,10,7,3.825,18.26,0,TRUE
_JIB1,~iy,2018-10-20,10,7,3.246,47.13,0,TRUE
_JTSp,5S8,2018-10-27,10,7,4.77,49.37,0,TRUE
_jw99,~iy,2018-10-30,10,3,6.778,62.9,0,TRUE
_jwYL,bbb,2018-10-10,10,4,7.05,44.44,0,TRUE
_JYn4,tbv,2018-10-30,10,3,1.002,11.08,0,TRUE
_kDgf,nRq,2018-10-30,10,3,1.105,6.4,0,TRUE
_knBE,uRf,2018-10-25,10,5,1,9.28,0,TRUE
_kqLr,Ed0,2018-10-23,10,3,3.005,17.7,0,TRUE
_KzHw,Ed0,2018-10-24,10,4,3.015,21.58,0,TRUE
_MB_~,fDV,2018-09-28,9,6,1.155,66.95,0,TRUE
_Mjzs,7ti,2018-10-20,10,7,2.812,24.09,0,TRUE
_ml0o,~iy,2018-10-31,10,4,3.312,25,0,TRUE
_mmEk,AWT,2018-10-17,10,4,14.1,94.07,0,TRUE
_mp_v,0aM,2018-10-26,10,6,0.682,10.4,0,TRUE
_MtnI,fDV,2018-10-31,10,4,6.725,39.59,0,TRUE
_mWwe,sN6,2018-10-17,10,4,4.265,27.6,0,TRUE
_NySm,uRf,2018-10-26,10,6,3.1,30.07,0,TRUE
_Nz3Z,7ti,2018-10-20,10,7,6,47.7,0,TRUE
_oCnm,nRq,2018-08-04,8,7,0.21,3.26,0,TRUE
_OEX2,JFC,2018-10-30,10,3,6.605,34.76,0,TRUE
_qill,Rtw,2018-10-31,10,4,9.24,114.76,0,TRUE
_QQgL,AWT,2018-10-25,10,5,0.535,4.28,0,TRUE
_qzON,8TO,2018-10-22,10,2,0.665,9.09,0,TRUE
_r_zI,AWT,2018-10-30,10,3,5.975,62.94,0,TRUE
_rf0L,zF~,2018-10-30,10,3,3.505,13.04,0,TRUE
_RPiY,sN6,2018-10-22,10,2,10.92,63.9,0,TRUE
_rwHT,tbv,2018-10-13,10,7,6.079,55.49,0,TRUE
_RxI0,7XS,2018-10-31,10,4,8.625,106.85,0,TRUE
_ryT9,5S8,2018-10-30,10,3,6.24,32.84,0,TRUE
_s0yn,7XS,2018-10-26,10,6,1.89,18.85,0,TRUE
_SzE0,AWT,2018-04-04,4,4,0.565,8.47,0,TRUE
_tDu7,Rtw,2018-10-17,10,4,5.515,22.23,0,TRUE
_Ttup,7XS,2018-10-22,10,2,2.105,-4.44089209850063e-16,0,TRUE
_Ud0v,bbb,2018-10-30,10,3,0.87,9.17,0,TRUE
_UIvY,Ed0,2018-10-31,10,4,4.195,5.59,0,TRUE
_UnFr,0aM,2018-10-31,10,4,3.446,10.67,0,TRUE
_UU_Z,KFW,2018-09-01,9,7,3.712,26.73,0,TRUE
_v3eX,AWT,2018-10-09,10,3,0.935,16.48,0,TRUE
_Ve6u,AWT,2018-09-14,9,6,1,5,0,TRUE
_VitN,AWT,2018-10-26,10,6,1.515,37.06,0,TRUE
_Vjqq,5S8,2018-04-24,4,3,19.44,96.39,0,TRUE
_Vmcc,AWT,2018-07-28,7,7,3.58,17.96,0,TRUE
_VNvX,8TO,2018-10-11,10,5,1.835,7.94,0,TRUE
_vt~c,0aM,2018-10-19,10,6,0.86,17.03,0,TRUE
_vThV,tbv,2018-10-05,10,6,3.322,12.2,0,TRUE
_vZMb,Ed0,2018-10-31,10,4,0.36,16.85,0,TRUE
_WD32,AWT,2018-10-25,10,5,4.05,22.03,0,TRUE
_Wfn0,AWT,2018-09-08,9,7,3.065,53.73,0,TRUE
_WFRt,7M4,2018-10-13,10,7,2,17.5,0,TRUE
_wpOp,7XS,2018-10-25,10,5,8.035,34.66,0,TRUE
_wPUK,~iy,2018-07-14,7,7,10.408,116.35,0,TRUE
_WsGz,fDV,2018-10-29,10,2,7.885,33.33,0,TRUE
_WTEg,AWT,2018-10-17,10,4,1.33,14.38,0,TRUE
_X3TV,7ti,2018-10-23,10,3,2.54,16.17,0,TRUE
_XW1x,7M4,2018-10-10,10,4,0.535,4.31,0,TRUE
_xw68,~iy,2018-09-03,9,2,4.148,24.37,0,TRUE
_XYb_,AWT,2018-10-30,10,3,2.67,32.92,0,TRUE
_xZ2o,8TO,2018-10-11,10,5,9.32,36.09,0,TRUE
_ydNO,7ti,2018-10-23,10,3,0.575,6.79,0,TRUE
_YFeg,Rtw,2018-10-29,10,2,4.37,33.2,0,TRUE
_yHri,7ti,2018-07-28,7,7,2.285,24.41,0,TRUE
_yRRc,fDV,2018-10-24,10,4,2.735,22.08,0,TRUE
_zP26,Ed0,2018-09-19,9,4,3.92,18.94,0,TRUE
_zTby,fDV,2018-08-29,8,4,4.57,61.87,0,TRUE
~_2uX,Ed0,2018-10-19,10,6,1,9.25,0,TRUE
~_5Qb,0aM,2018-10-27,10,7,5.34,24.92,0,TRUE
~_cW_,F50,2018-10-31,10,4,0.905,5.85,0,TRUE
~~r6s,AWT,2018-10-24,10,4,3.995,52.64,0,TRUE
~0pFz,KFW,2018-10-31,10,4,1.526,33.57,0,TRUE
~0pmD,AWT,2018-09-05,9,4,3,26.7,0,TRUE
~1CQD,8TO,2018-10-30,10,3,2.495,22.79,0,TRUE
~1G8P,AWT,2018-10-29,10,2,0.715,6.38,0,TRUE
~2C59,5S8,2018-10-08,10,2,0.825,10.18,0,TRUE
~2W3B,KFW,2018-10-19,10,6,11.534,97.87,0,TRUE
~31nr,sN6,2018-10-24,10,4,8.825,52.02,0,TRUE
~3dmZ,AWT,2018-09-28,9,6,2.455,43.05,0,TRUE
~3unr,AWT,2018-10-27,10,7,0.755,5.2,0,TRUE
~52uh,7ti,2018-10-26,10,6,0.215,3.18,0,TRUE
~5XTb,Ed0,2018-10-30,10,3,0.355,5.05,0,TRUE
~6q~a,nRq,2018-10-18,10,5,0.85,10.47,0,TRUE
~70CA,0aM,2018-08-29,8,4,3.482,33.57,0,TRUE
~74HL,F50,2018-10-31,10,4,2.555,12.14,0,TRUE
~7BP1,bbb,2018-10-31,10,4,2.21,5.64,0,TRUE
~7hXA,7XS,2018-10-13,10,7,1.18,18.52,0,TRUE
~8_dw,7XS,2018-10-31,10,4,2.695,23.46,0,TRUE
~971~,nRq,2018-10-19,10,6,0.2,22,0,TRUE
~9KAx,7XS,2018-10-30,10,3,0.885,12.72,0,TRUE
~9Xkh,AWT,2018-08-17,8,6,4.785,46.29,0,TRUE
~a1D_,7ti,2018-10-22,10,2,1.27,16.81,0,TRUE
~a8m4,7XS,2018-10-30,10,3,0.58,9.65,0,TRUE
~aaaG,bbb,2018-10-19,10,6,6.745,35.18,0,TRUE
~AqAG,fDV,2018-10-24,10,4,4.685,32.82,0,TRUE
~Aqh9,AWT,2018-10-26,10,6,3,18,0,TRUE
~bege,lFX,2018-09-22,9,7,1.492,46.92,0,TRUE
~bZVh,bbb,2018-10-27,10,7,1.585,22.86,0,TRUE
~C~dA,bbb,2018-10-20,10,7,2.175,26.12,0,TRUE
~CBUp,AWT,2018-06-06,6,4,4,10.87,0,TRUE
~chpz,J5B,2018-07-06,7,6,2.67,17.46,0,TRUE
~Cjc2,7ti,2018-10-30,10,3,4.4,24.17,0,TRUE
~Cjq_,JFC,2018-10-31,10,4,7.525,39.96,0,TRUE
~CndY,7XS,2018-10-27,10,7,6.89,28.52,0,TRUE
~cUgW,8TO,2018-10-19,10,6,1.975,15.37,0,TRUE
~d6oJ,lFX,2018-10-26,10,6,1.874,74.39,0,TRUE
~DV0g,uRf,2018-10-16,10,3,1.81,7.83,0,TRUE
~dXBA,Ed0,2018-10-17,10,4,0.915,15.02,0,TRUE
~e9wj,AWT,2018-07-27,7,6,1.765,41.19,0,TRUE
~f32F,AWT,2018-10-29,10,2,0.66,8.6,0,TRUE
~fFp~,AWT,2018-10-26,10,6,5.005,26.62,0,TRUE
~fQcV,tbv,2018-10-20,10,7,1.028,13.15,0,TRUE
~fW9~,AWT,2018-10-31,10,4,4.57,17.22,0,TRUE
~FW9m,Ed0,2018-10-29,10,2,5.53,46.92,0,TRUE
~fZ7Q,7ti,2018-10-29,10,2,0.35,3.47,0,TRUE
~G2K8,7M4,2018-10-26,10,6,2.55,23.45,0,TRUE
~g9bl,HYm,2018-10-26,10,6,5.41,66.8,0,TRUE
~gAwc,8TO,2018-09-29,9,7,7.635,34.95,0,TRUE
~gNK7,7XS,2018-10-16,10,3,2.325,20.81,0,TRUE
~gTLs,AWT,2018-10-25,10,5,4.49,10.13,0,TRUE
~H5No,F50,2018-09-26,9,4,0.355,2.37,0,TRUE
~hA7U,bbb,2018-09-20,9,5,5.14,58.7,0,TRUE
~hdVZ,AWT,2018-09-27,9,5,0.285,3.99,0,TRUE
~hl_d,Rtw,2018-10-27,10,7,2.15,23.58,0,TRUE
~htmY,HYm,2018-10-31,10,4,1.655,21.5,0,TRUE
~HtQp,7XS,2018-10-29,10,2,0.625,11.66,0,TRUE
~I7rD,5S8,2018-10-30,10,3,4.555,29.24,0,TRUE
~I8lF,7XS,2018-10-25,10,5,8.455,150.68,0,TRUE
~itIo,0aM,2018-09-29,9,7,2.278,4.81,0,TRUE
~Iyzf,KFW,2018-10-08,10,2,2.184,15.09,0,TRUE
~j~q5,Ed0,2018-10-24,10,4,0.74,10.08,0,TRUE
~JEaE,7ti,2018-10-26,10,6,3.17,20.96,0,TRUE
~k_qH,5S8,2018-03-15,3,5,0.75,11.64,0,TRUE
~L~li,5S8,2018-01-26,1,6,4,23.15,0,TRUE
~LlwN,fDV,2018-10-02,10,3,1.935,15.14,0,TRUE
~LSSv,AWT,2018-10-20,10,7,2.64,61.99,0,TRUE
~lWti,tbv,2018-10-26,10,6,1.226,15.33,0,TRUE
~lwzF,0aM,2018-09-26,9,4,15.11,84.07,0,TRUE
~Ma3R,7XS,2018-07-12,7,5,0.91,12.14,0,TRUE
~n9oT,5S8,2018-09-17,9,2,5.535,39.01,0,TRUE
~NBPx,bbb,2018-10-19,10,6,5,14.63,0,TRUE
~nGHy,bbb,2017-06-21,6,4,2.405,11.08,0,TRUE
~nM8d,HYm,2018-09-07,9,6,2.735,16.19,0,TRUE
~np6H,tbv,2018-10-27,10,7,2.09,8.79,0,TRUE
~nRVk,AWT,2018-09-18,9,3,4.105,34.38,0,TRUE
~NWvy,lFX,2018-09-28,9,6,3.334,48.27,0,TRUE
~OdW9,lFX,2018-10-26,10,6,1.006,12.44,0,TRUE
~oSFM,JFC,2018-10-15,10,2,3.895,13.22,0,TRUE
~Oxen,uRf,2018-10-05,10,6,7.27,22.8,0,TRUE
~pHOe,AWT,2018-06-01,6,6,0.4,21.2,0,TRUE
~pPjZ,7ti,2018-10-15,10,2,2.115,24.9,0,TRUE
~quYw,5S8,2018-10-30,10,3,0.53,7.84,0,TRUE
~qwdv,AWT,2018-10-27,10,7,2.24,41.77,0,TRUE
~RFGi,AWT,2018-10-25,10,5,0.345,5.46,0,TRUE
~rQ5q,AWT,2018-10-19,10,6,4.495,39.74,0,TRUE
~S8c8,5S8,2018-10-17,10,4,5,16,0,TRUE
~SGN~,uRf,2018-10-10,10,4,3.215,30.17,0,TRUE
~sPHF,KFW,2018-10-24,10,4,4.32,22.01,0,TRUE
~Svl2,KFW,2018-10-24,10,4,1,17.23,0,TRUE
~T4vj,fDV,2018-10-31,10,4,4.355,8.9,0,TRUE
~tFWG,7ti,2018-07-30,7,2,2.64,30.29,0,TRUE
~TLqW,8TO,2018-10-29,10,2,3.93,18.83,0,TRUE
~Tod2,lFX,2018-10-30,10,3,5.202,109.6,0,TRUE
~tOjh,5S8,2018-10-23,10,3,2.865,19.95,0,TRUE
~toZW,F50,2018-10-27,10,7,0.375,3.49,0,TRUE
~tpx6,~iy,2018-10-26,10,6,2.792,23.5,0,TRUE
~u1XZ,~iy,2018-10-31,10,4,6.548,92.11,0,TRUE
~UKwr,~iy,2018-10-15,10,2,1.192,14.67,0,TRUE
~URjI,8TO,2018-10-27,10,7,3.17,27.77,0,TRUE
~uSZ1,7ti,2018-09-20,9,5,3.35,49.53,0,TRUE
~v6X4,AWT,2018-10-31,10,4,3.985,40.46,0,TRUE
~Vp4q,0aM,2018-04-26,4,5,0.378,5.22,0,TRUE
~vsra,5S8,2018-10-26,10,6,1,6.95,0,TRUE
~vx3P,7XS,2018-04-27,4,6,0.735,9.9,0,TRUE
~W0lV,5S8,2018-07-31,7,3,1.225,25.93,0,TRUE
~W8i4,KFW,2018-09-15,9,7,1.78,35.79,0,TRUE
~wdrz,bbb,2018-10-08,10,2,2.605,24.64,0,TRUE
~wjPc,7ti,2018-10-29,10,2,9.08,19.25,0,TRUE
~wMT8,bbb,2018-09-04,9,3,1,4.5,0,TRUE
~yomK,AWT,2018-06-30,6,7,0.965,15.44,0,TRUE
~YTWB,7ti,2018-10-27,10,7,4,23.9,0,TRUE
~yxTS,0aM,2018-10-31,10,4,3.768,29.34,0,TRUE
~yyle,tbv,2018-10-23,10,3,0.332,13.68,0,TRUE
~Z89k,KFW,2018-10-31,10,4,2.858,21.94,0,TRUE
~zLLS,AWT,2018-10-31,10,4,3.535,31.4,0,TRUE
~zON4,0aM,2018-10-23,10,3,11.076,109.48,0,TRUE
~zso1,7M4,2018-10-15,10,2,5.5,41.69,0,TRUE
~zUMB,F50,2018-01-03,1,4,1.95,9.45,0,TRUE
0_MsP,7ti,2017-09-22,9,6,2,13.9,0,TRUE
0_O9k,~iy,2018-05-19,5,7,5.738,35.54,0,TRUE
0_UPH,7ti,2018-10-31,10,4,14.22,63.83,0,TRUE
0~kaV,~iy,2018-10-13,10,7,8.132,101.55,0,TRUE
0~Tf_,~iy,2018-10-18,10,5,0.294,4.12,0,TRUE
01IY0,~iy,2018-10-20,10,7,4.878,28.18,0,TRUE
0295o,7ti,2018-09-19,9,4,4.225,25.41,0,TRUE
02PK6,KFW,2018-10-08,10,2,0.98,14.44,0,TRUE
030On,sN6,2018-07-14,7,7,12.96,58.53,0,TRUE
03GS2,uRf,2018-10-26,10,6,7.53,46,0,TRUE
03wVd,7M4,2018-10-09,10,3,8.61,69.72,0,TRUE
040G5,fDV,2018-10-26,10,6,1.3,23.65,0,TRUE
05hS~,lFX,2018-10-30,10,3,2.82,99.37,0,TRUE
05kvm,AWT,2018-10-29,10,2,2.885,29.69,0,TRUE
05V4h,fDV,2018-10-25,10,5,6.83,58.49,0,TRUE
06BEB,0aM,2018-05-24,5,5,2.382,20.44,0,TRUE
07LhU,AWT,2018-07-29,7,1,2,16.5,0,TRUE
07qPx,AWT,2018-09-01,9,7,4.605,26.66,0,TRUE
08DGP,lFX,2018-10-31,10,4,2.052,68.88,0,TRUE
08Fo0,JFC,2018-10-16,10,3,4.415,28.76,0,TRUE
08XNo,7ti,2018-10-29,10,2,1,6.95,0,TRUE
09IbI,KFW,2018-10-26,10,6,3.792,58.06,0,TRUE
09UO5,5S8,2018-10-26,10,6,4.15,21.79,0,TRUE
09VXJ,sN6,2018-10-31,10,4,2.75,13.64,0,TRUE
0aD7y,Ed0,2018-10-23,10,3,1.55,7.17,0,TRUE
0aEaB,~iy,2018-09-25,9,3,0.58,8.47,0,TRUE
0aGZS,5S8,2018-10-29,10,2,1.09,3.94,0,TRUE
0aOE8,AWT,2018-10-30,10,3,13.655,56.75,0,TRUE
0AOQ3,fDV,2018-09-13,9,5,0.955,14.24,0,TRUE
0aWUQ,fDV,2018-09-27,9,5,0.505,6.39,0,TRUE
0aXzN,Ed0,2018-10-27,10,7,2.8,13.5,0,TRUE
0B5Y5,fDV,2018-09-03,9,2,4.23,18.95,0,TRUE
0b7h6,F50,2018-10-25,10,5,1.025,9.46,0,TRUE
0bNBr,uRf,2018-09-13,9,5,2.41,14.45,0,TRUE
0Bqn3,nRq,2018-10-13,10,7,4.655,50.69,0,TRUE
0bSuy,5S8,2018-07-11,7,4,0.285,3.96,0,TRUE
0byEj,KFW,2018-10-18,10,5,2.182,24.16,0,TRUE
0c2Yp,Rtw,2018-10-05,10,6,8.695,35.15,0,TRUE
0CfFE,AWT,2018-10-23,10,3,1.155,15.41,0,TRUE
0CIq3,AWT,2018-10-18,10,5,11.525,56.65,0,TRUE
0Cms8,7M4,2018-03-23,3,6,0.94,7.85,0,TRUE
0ctNo,Ed0,2018-09-13,9,5,2.87,26.03,0,TRUE
0CXwC,uRf,2018-10-30,10,3,3.285,31.71,0,TRUE
0d9of,AWT,2018-10-29,10,2,1.685,25.03,0,TRUE
0dclH,nRq,2018-10-31,10,4,0.38,6.88,0,TRUE
0dEFR,AWT,2018-10-30,10,3,2.57,11.49,0,TRUE
0deVI,0aM,2018-10-20,10,7,1.136,16.53,0,TRUE
0doyA,7ti,2018-10-29,10,2,1.77,11.64,0,TRUE
0dpu~,bbb,2018-04-23,4,2,10.01,85.65,0,TRUE
0Dq4N,JFC,2018-06-06,6,4,4.515,27.53,0,TRUE
0dube,Rtw,2018-10-17,10,4,0.74,9.9,0,TRUE
0DYv_,7M4,2018-09-06,9,5,0.785,6.84,0,TRUE
0EAQY,tbv,2018-10-25,10,5,0.474,17.56,0,TRUE
0eBw3,0aM,2018-06-15,6,6,14.007,186.37,0,TRUE
0egK2,Rtw,2018-10-17,10,4,0.695,7.99,0,TRUE
0eKkG,Rtw,2018-10-26,10,6,4.295,16.41,0,TRUE
0EPTp,0aM,2018-10-13,10,7,1.962,19.89,0,TRUE
0f4vA,7ti,2018-10-06,10,7,2,8,0,TRUE
0Foty,sN6,2018-10-25,10,5,1.2,1.97,0,TRUE
0FqhV,HYm,2018-10-31,10,4,0.515,6.89,0,TRUE
0Fucv,7ti,2018-10-25,10,5,1.865,32.66,0,TRUE
0g2ea,AWT,2018-10-24,10,4,4.295,21.17,0,TRUE
0g3Xk,F50,2018-10-27,10,7,2.4,18.96,0,TRUE
0GgBZ,nRq,2018-10-25,10,5,0.445,5.3,0,TRUE
0gHWI,AWT,2018-09-19,9,4,4.515,41.65,0,TRUE
0gPki,fDV,2018-10-19,10,6,3.845,33.86,0,TRUE
0GVEj,fDV,2018-10-31,10,4,1.795,13.07,0,TRUE
0hFe4,5S8,2018-10-31,10,4,1.415,22.61,0,TRUE
0hKhd,F50,2018-10-15,10,2,1.855,14.34,0,TRUE
0hoGq,8TO,2018-10-23,10,3,4.99,26.15,0,TRUE
0HS3S,0aM,2018-09-22,9,7,6.542,52.57,0,TRUE
0HSO~,~iy,2018-10-01,10,2,0.2,3.9,0,TRUE
0hz_c,nRq,2018-10-25,10,5,4.325,27.08,0,TRUE
0I25i,~iy,2018-10-31,10,4,3.986,61.07,0,TRUE
0I4pd,Ed0,2018-09-04,9,3,0.475,12.27,0,TRUE
0i4YO,7XS,2018-10-27,10,7,1.455,25.92,0,TRUE
0i6KT,AWT,2018-10-27,10,7,0.315,3.47,0,TRUE
0Ir4f,7XS,2018-10-30,10,3,0.575,10.7,0,TRUE
0Jn5Q,bbb,2018-10-26,10,6,1.355,19.78,0,TRUE
0jNb9,7ti,2018-10-10,10,4,4.38,33.13,0,TRUE
0jQwP,fDV,2018-07-23,7,2,14.44,50.87,0,TRUE
0JwRs,~iy,2018-10-06,10,7,5.426,60.13,0,TRUE
0jZ7g,bbb,2018-10-27,10,7,0.82,31.57,0,TRUE
0k6~X,uRf,2018-10-20,10,7,7.37,35.81,0,TRUE
0KCG9,uRf,2018-07-21,7,7,1.84,14.47,0,TRUE
0KenN,~iy,2018-10-18,10,5,1.78,6.48,0,TRUE
0kG1P,7ti,2018-10-27,10,7,0.555,3.77,0,TRUE
0KM0G,fDV,2018-10-13,10,7,1.511,14.53,0,TRUE
0kpIg,7M4,2018-06-28,6,5,1.33,6.8,0,TRUE
0Le3J,5S8,2018-10-31,10,4,7.45,85.79,0,TRUE
0LjLm,AWT,2018-09-26,9,4,3,12.48,0,TRUE
0lPf7,F50,2018-10-19,10,6,2.745,11.92,0,TRUE
0lXFb,JFC,2018-10-20,10,7,5.54,30.07,0,TRUE
0M19Y,bbb,2018-08-10,8,6,1.53,16.21,0,TRUE
0m5FZ,fDV,2018-10-26,10,6,0.525,8.22,0,TRUE
0MtDO,7XS,2018-10-25,10,5,0.575,10.04,0,TRUE
0mtGv,5S8,2018-10-31,10,4,0.425,6.45,0,TRUE
0MUHO,AWT,2018-10-24,10,4,5.74,20.08,0,TRUE
0nCZs,KFW,2018-09-19,9,4,0.178,1.64,0,TRUE
0NEpc,7XS,2018-10-29,10,2,1.585,20.62,0,TRUE
0njxT,bbb,2018-10-01,10,2,0.135,1.88,0,TRUE
0nltQ,7XS,2018-10-31,10,4,0.17,1.85,0,TRUE
0nS_q,Ed0,2018-10-30,10,3,0.37,12.67,0,TRUE
0nVwG,uRf,2018-10-29,10,2,1.525,3.64,0,TRUE
0OwcT,5S8,2018-10-19,10,6,1.89,11.83,0,TRUE
0oXU9,fDV,2018-10-02,10,3,1.495,8.08,0,TRUE
0oYQ3,JFC,2018-10-27,10,7,0.2,7.12,0,TRUE
0pgMi,fDV,2018-10-09,10,3,11.785,141.95,0,TRUE
0Q9qk,KFW,2018-10-19,10,6,3.958,42.45,0,TRUE
0qcNo,AWT,2018-10-30,10,3,1.295,18.13,0,TRUE
0qyk0,bbb,2018-06-21,6,5,0.58,11.81,0,TRUE
0r09m,AWT,2018-09-26,9,4,11.79,13.84,0,TRUE
0rbvL,8TO,2018-07-31,7,3,1.09,12.51,0,TRUE
0Refu,zF~,2017-09-13,9,4,4.78,45.93,0,TRUE
0rM~T,bbb,2018-10-30,10,3,15.805,24.26,0,TRUE
0Sfvh,7XS,2018-10-26,10,6,1.705,17.74,0,TRUE
0sk9U,5S8,2018-09-10,9,2,1.595,9.23,0,TRUE
0sMLY,sN6,2018-09-12,9,4,0.8,19.89,0,TRUE
0StAd,lFX,2018-07-21,7,7,2.23,40.09,0,TRUE
0sTnp,F50,2018-10-20,10,7,3.215,9.9,0,TRUE
0T_mv,7M4,2018-10-30,10,3,3.99,14.82,0,TRUE
0T5_L,nRq,2018-10-13,10,7,1.395,19.35,0,TRUE
0t5NL,7XS,2018-04-13,4,6,0.74,14.64,0,TRUE
0Tcmu,0aM,2018-10-24,10,4,4.08,25.94,0,TRUE
0Teux,lFX,2018-10-30,10,3,1.432,59.19,0,TRUE
0TIGX,0aM,2018-10-22,10,2,0.888,8.76,0,TRUE
0uk5T,5S8,2018-10-10,10,4,0.39,4.45,0,TRUE
0USDc,F50,2018-10-26,10,6,3.315,25.96,0,TRUE
0VAmj,7M4,2018-10-11,10,5,1.28,13.16,0,TRUE
0VG6V,Rtw,2018-08-14,8,3,1.6,4.83,0,TRUE
0vNQa,8TO,2018-08-17,8,6,0.16,3.79,0,TRUE
0VS1D,5S8,2018-09-29,9,7,1,3.3,0,TRUE
0VtCA,JFC,2018-10-22,10,2,2.625,13.27,0,TRUE
0VvTJ,7ti,2018-10-20,10,7,0.875,19.08,0,TRUE
0WVP3,AWT,2018-10-27,10,7,4.04,42.01,0,TRUE
0X0~C,Rtw,2018-10-31,10,4,2.375,23.37,0,TRUE
0XIfY,7ti,2018-10-30,10,3,0.31,5.52,0,TRUE
0XOP2,nRq,2018-10-19,10,6,0.2,3.96,0,TRUE
0XTb1,5S8,2018-10-04,10,5,0.275,4.26,0,TRUE
0XzNQ,lFX,2018-10-22,10,2,0.438,6.57,0,TRUE
0yBGE,nRq,2018-10-25,10,5,1.5,34.52,0,TRUE
0YHmU,sN6,2018-09-05,9,4,2.24,18.83,0,TRUE
0Yjeo,AWT,2018-10-31,10,4,4.155,3.10862446895044e-15,0,TRUE
0yxIQ,7XS,2018-10-31,10,4,14.72,36.84,0,TRUE
0zeNI,0aM,2018-10-19,10,6,5.786,97.62,0,TRUE
0zkwX,uRf,2018-10-29,10,2,4.885,29.44,0,TRUE
0zr9V,5S8,2018-10-22,10,2,0.63,8.71,0,TRUE
0zYij,AWT,2018-09-14,9,6,3.66,31.6,0,TRUE
1_Ko~,KFW,2018-10-30,10,3,0.466,5,0,TRUE
1_QUY,~iy,2018-10-29,10,2,2.13,22.33,0,TRUE
